"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100","Interest Payment Frequency","Interest Rate"
"912827PF3","Note","5-Year 2-Month","02/23/1983","03/01/1983","05/15/1988","","Semi-Annual","9.875%"
"912794CV4","Bill","13-Week","02/22/1983","02/24/1983","05/26/1983","","",""
"912794DN1","Bill","26-Week","02/22/1983","02/24/1983","08/25/1983","","",""
"912794ED2","Bill","52-Week","02/17/1983","02/24/1983","02/23/1984","","",""
"912827PE6","Note","2-Year","02/16/1983","02/28/1983","02/28/1985","","Semi-Annual","9.625%"
"912794CC6","Bill","13-Week","02/14/1983","02/17/1983","05/19/1983","","",""
"912794DM3","Bill","26-Week","02/14/1983","02/17/1983","08/18/1983","","",""
"912794CU6","Bill","13-Week","02/07/1983","02/10/1983","05/12/1983","","",""
"912794DB7","Bill","26-Week","02/07/1983","02/10/1983","08/11/1983","","",""
"912810DB1","Bond","29-Year 9-Month","02/03/1983","02/15/1983","11/15/2012","","Semi-Annual","10.375%"
"912827PD8","Note","10-Year","02/02/1983","02/15/1983","02/15/1993","","Semi-Annual","10.875%"
"912827PC0","Note","3-Year","02/01/1983","02/15/1983","02/15/1986","","Semi-Annual","9.875%"
"912794CT9","Bill","13-Week","01/31/1983","02/03/1983","05/05/1983","","",""
"912794DL5","Bill","26-Week","01/31/1983","02/03/1983","08/04/1983","","",""
"912794CS1","Bill","13-Week","01/24/1983","01/27/1983","04/28/1983","","",""
"912794DK7","Bill","26-Week","01/24/1983","01/27/1983","07/28/1983","","",""
"912794EC4","Bill","52-Week","01/20/1983","01/27/1983","01/26/1984","","",""
"912827PB2","Note","2-Year","01/19/1983","01/31/1983","01/31/1985","","Semi-Annual","9.250%"
"912794CB8","Bill","13-Week","01/17/1983","01/20/1983","04/21/1983","","",""
"912794DJ0","Bill","26-Week","01/17/1983","01/20/1983","07/21/1983","","",""
"912794CR3","Bill","13-Week","01/10/1983","01/13/1983","04/14/1983","","",""
"912794DA9","Bill","26-Week","01/10/1983","01/13/1983","07/14/1983","","",""
"912794CQ5","Bill","13-Week","01/03/1983","01/06/1983","04/07/1983","","",""
"912794DH4","Bill","26-Week","01/03/1983","01/06/1983","07/07/1983","","",""
"912794CP7","Bill","13-Week","12/27/1982","12/30/1982","03/31/1983","","",""
"912794CZ5","Bill","26-Week","12/27/1982","12/30/1982","06/30/1983","","",""
"912794DG6","Bill","52-Week","12/23/1982","12/30/1982","12/29/1983","","",""
"912810DC9","Bond","20-Year 1-Month","12/22/1982","01/04/1983","02/15/2003","","Semi-Annual","10.750%"
"912827PA4","Note","7-Year","12/21/1982","01/04/1983","01/15/1990","","Semi-Annual","10.500%"
"912794CA0","Bill","13-Week","12/20/1982","12/23/1982","03/24/1983","","",""
"912794CY8","Bill","26-Week","12/20/1982","12/23/1982","06/23/1983","","",""
"912827NZ1","Note","4-Year","12/16/1982","12/31/1982","12/31/1986","","Semi-Annual","10.000%"
"912827NY4","Note","2-Year","12/15/1982","12/31/1982","12/31/1984","","Semi-Annual","9.375%"
"912794CN2","Bill","13-Week","12/13/1982","12/16/1982","03/17/1983","","",""
"912794CD4","Bill","26-Week","12/13/1982","12/16/1982","06/16/1983","","",""
"912794CM4","Bill","13-Week","12/06/1982","12/09/1982","03/10/1983","","",""
"912794CX0","Bill","26-Week","12/06/1982","12/09/1982","06/09/1983","","",""
"912794CS1","Bill","143-Day","11/30/1982","12/06/1982","04/28/1983","","",""
"912794CG7","Bill","50-Day","11/30/1982","12/01/1982","01/20/1983","","",""
"912794CL6","Bill","13-Week","11/29/1982","12/02/1982","03/03/1983","","",""
"912794CW2","Bill","26-Week","11/29/1982","12/02/1982","06/02/1983","","",""
"912794DF8","Bill","52-Week","11/24/1982","12/02/1982","12/01/1983","","",""
"912827NX6","Note","5-Year 2-Month","11/23/1982","12/02/1982","02/15/1988","","Semi-Annual","10.125%"
"912794BZ6","Bill","13-Week","11/22/1982","11/26/1982","02/24/1983","","",""
"912794CV4","Bill","26-Week","11/22/1982","11/26/1982","05/26/1983","","",""
"912827NW8","Note","2-Year","11/17/1982","11/30/1982","11/30/1984","","Semi-Annual","9.875%"
"912794CK8","Bill","13-Week","11/15/1982","11/18/1982","02/17/1983","","",""
"912794CC6","Bill","26-Week","11/15/1982","11/18/1982","05/19/1983","","",""
"912794BY9","Bill","73-Day","11/12/1982","11/15/1982","01/27/1983","","",""
"912810DB1","Bond","30-Year","11/09/1982","11/15/1982","11/15/2012","","Semi-Annual","10.375%"
"912794CJ1","Bill","13-Week","11/08/1982","11/12/1982","02/10/1983","","",""
"912794CU6","Bill","26-Week","11/08/1982","11/12/1982","05/12/1983","","",""
"912827NV0","Note","10-Year","11/04/1982","11/15/1982","11/15/1992","","Semi-Annual","10.500%"
"912827NU2","Note","3-Year","11/03/1982","11/15/1982","11/15/1985","","Semi-Annual","9.750%"
"912794CH5","Bill","13-Week","11/01/1982","11/04/1982","02/03/1983","","",""
"912794CT9","Bill","26-Week","11/01/1982","11/04/1982","05/05/1983","","",""
"912794DE1","Bill","52-Week","10/28/1982","11/04/1982","11/03/1983","","",""
"912794BY9","Bill","13-Week","10/25/1982","10/28/1982","01/27/1983","","",""
"912794CS1","Bill","26-Week","10/25/1982","10/28/1982","04/28/1983","","",""
"912827NT5","Note","2-Year","10/20/1982","11/01/1982","10/31/1984","","Semi-Annual","9.750%"
"912794CG7","Bill","13-Week","10/18/1982","10/21/1982","01/20/1983","","",""
"912794CB8","Bill","26-Week","10/18/1982","10/21/1982","04/21/1983","","",""
"912794CF9","Bill","13-Week","10/12/1982","10/14/1982","01/13/1983","","",""
"912794CR3","Bill","26-Week","10/12/1982","10/14/1982","04/14/1983","","",""
